PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
64 bytes from 192.168.4.2: icmp_seq=138 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=139 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=140 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=141 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=142 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=143 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=144 ttl=255 time=18.3 ms
64 bytes from 192.168.4.2: icmp_seq=145 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=146 ttl=255 time=30.0 ms
64 bytes from 192.168.4.2: icmp_seq=147 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=148 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=149 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=150 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=151 ttl=255 time=17.9 ms
64 bytes from 192.168.4.2: icmp_seq=152 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=153 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=154 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=155 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=156 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=157 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=158 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=159 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=160 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=161 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=162 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=163 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=164 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=165 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=166 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=167 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=168 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=169 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=170 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=171 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=172 ttl=255 time=20.8 ms
64 bytes from 192.168.4.2: icmp_seq=173 ttl=255 time=19.8 ms
64 bytes from 192.168.4.2: icmp_seq=174 ttl=255 time=24.1 ms
64 bytes from 192.168.4.2: icmp_seq=175 ttl=255 time=17.6 ms
64 bytes from 192.168.4.2: icmp_seq=176 ttl=255 time=21.1 ms
